"Total Transaction Value
($M)","M&A Completion Date
(dd/mm/yyyy)"
5.50,03/02/2015
28.56,06/11/2018
98.70,19/01/2017
NA,31/10/2021
0.03,02/02/2022
42.00,18/12/2019
1.60,05/11/2018
8.85,30/06/2018
85.00,01/05/2017
117.50,05/01/2017
160.00,01/10/2021
17.92,08/02/2019
0.79,31/01/2015
7.39,19/12/2018
0.02,21/01/2016
653.17,22/11/2022
176.60,12/07/2017
0.86,12/10/2022
0.03,20/12/2018
9.96,31/05/2015
96.06,29/03/2021
0.15,03/11/2016
7.83,12/02/2021
5.39,01/10/2021
45.76,31/01/2019
29.90,04/10/2020
5.42,10/07/2015
9.43,18/05/2018
184.93,17/01/2019
"1,127.00",21/06/2021
"1,833.52",17/02/2021
260.20,30/11/2016
0.23,18/06/2019
1.35,29/07/2019
1.02,29/07/2019
0.12,26/05/2015
"6,193.32",25/04/2018
150.00,02/10/2017
64.36,20/10/2015
NA,19/09/2019
0.25,13/07/2021
982.94,08/10/2021
7.93,05/08/2016
0.80,06/04/2018
8.16,08/01/2019
1.74,01/04/2021
1.03,25/06/2019
95.80,01/02/2017
93.00,30/09/2016
1.00,08/05/2020
21.22,28/02/2022
"2,900.00",22/11/2016
0.33,22/12/2015
0.38,01/12/2016
0.93,02/05/2018
5.02,19/11/2015
0.61,01/04/2016
0.54,30/11/2018
0.66,01/04/2022
858.11,07/09/2020
32.09,30/09/2021
330.00,17/07/2018
0.30,01/04/2021
33.00,05/10/2020
0.00,01/07/2019
2.39,02/03/2016
0.71,11/06/2020
0.01,31/05/2018
1.73,04/05/2021
7.12,23/03/2015
25.10,31/08/2022
5.00,31/12/2015
3.41,31/03/2017
4.31,31/12/2018
36.30,26/02/2018
24.20,27/03/2018
115.00,16/02/2022
25.08,02/09/2015
18.38,03/07/2018
11.53,20/07/2015
3.00,02/08/2016
279.39,15/01/2015
736.00,29/11/2021
12.57,08/08/2017
8.00,16/07/2020
32.64,28/02/2018
7.73,27/07/2018
"2,300.00",01/10/2018
10.30,10/09/2018
17.81,03/01/2020
0.29,29/03/2017
56.04,11/09/2018
320.00,08/09/2015
814.90,29/06/2017
72.91,01/10/2021
0.19,01/03/2016
0.00,02/09/2015
17.20,04/05/2018
0.21,01/01/2017
0.27,06/03/2022
4.40,23/08/2016
66.32,04/01/2022
21.88,05/03/2018
0.27,20/08/2018
"1,490.92",01/08/2018
53.13,17/07/2021
0.34,31/12/2018
17.30,26/01/2021
24.50,19/02/2016
18.00,17/05/2021
88.97,17/08/2020
0.30,05/11/2020
0.19,14/01/2015
32.40,09/03/2020
6.00,04/05/2021
16.60,02/03/2015
7.00,27/11/2019
0.11,30/06/2017
0.16,12/11/2020
0.14,31/12/2018
0.10,31/12/2019
10.00,31/12/2019
1.07,30/06/2018
3.10,20/06/2018
2.32,06/11/2019
138.40,30/11/2016
5.63,01/03/2017
155.40,29/04/2022
1.62,05/04/2017
675.00,21/10/2015
60.10,12/12/2018
5.00,27/02/2018
29.00,08/04/2022
