"Total Transaction Value
($M)","M&A Completion Date
(dd/mm/yyyy)"
6.54,15/09/2017
22.50,18/05/2015
0.42,27/06/2022
19.67,01/10/2019
138.81,26/08/2022
20.28,31/07/2019
380.00,01/09/2018
36.58,16/01/2018
18.54,08/06/2018
45.37,04/04/2016
2.69,31/12/2020
6.50,30/09/2015
1.68,06/05/2015
9.80,01/03/2018
13.80,13/04/2016
2.19,10/11/2015
6.00,03/08/2021
0.25,26/02/2021
0.24,12/02/2018
268.57,31/03/2019
31.10,10/02/2015
7.48,01/04/2020
34.93,01/10/2017
7.23,27/01/2020
4.94,18/11/2015
41.07,01/04/2021
3.48,28/04/2015
14.40,30/06/2015
12.00,30/10/2015
7.10,07/11/2022
58.00,01/04/2015
247.15,30/07/2020
5.32,31/07/2018
33.10,16/08/2018
59.68,24/11/2016
965.00,12/02/2021
0.58,18/05/2022
0.58,18/05/2022
2.35,11/09/2015
"3,515.90",01/08/2019
0.28,28/06/2022
7.41,08/06/2015
0.04,28/06/2018
5.42,30/09/2021
3.91,30/11/2015
1.23,09/11/2015
23.58,29/12/2017
0.22,31/12/2015
0.08,30/11/2015
0.13,31/12/2015
0.98,30/11/2015
0.02,31/12/2015
104.84,30/07/2015
0.47,30/11/2015
0.38,19/04/2016
71.47,04/09/2020
0.31,30/11/2015
4.36,27/01/2017
2.25,08/06/2022
0.54,28/05/2015
1.89,29/12/2015
0.07,01/01/2020
6.59,15/07/2022
5.77,29/12/2017
39.60,28/03/2018
1.80,31/12/2016
150.69,19/11/2015
1.61,08/05/2015
0.30,28/11/2019
"2,158.53",31/12/2019
0.12,02/11/2016
2.51,30/09/2017
8.76,30/09/2015
14.20,31/08/2016
2.26,12/02/2015
1.75,20/02/2019
0.15,23/07/2015
3.35,24/04/2018
53.66,09/03/2016
5.39,22/04/2015
2.08,16/11/2015
35.75,16/08/2017
71.75,30/06/2020
55.94,30/09/2015
0.35,14/01/2015
1.22,30/06/2015
0.46,29/07/2021
256.89,30/06/2017
25.95,12/06/2018
518.87,24/11/2017
11.36,01/06/2017
138.51,01/06/2017
2.01,01/07/2022
4.43,28/12/2017
35.69,22/03/2017
15.31,29/12/2020
18.90,31/08/2017
29.97,08/06/2016
7.66,31/12/2015
167.70,06/11/2020
0.48,11/12/2019
0.37,06/03/2020
53.83,25/01/2018
25.20,30/09/2016
1.66,30/06/2016
44.52,14/07/2017
40.53,31/10/2017
1.28,24/07/2020
0.00,30/09/2017
148.67,17/08/2017
130.46,02/11/2016
2.24,27/04/2020
0.23,26/12/2019
0.39,30/06/2018
2.14,04/01/2019
27.14,08/12/2021
29.48,04/08/2017
66.09,02/01/2018
7.19,06/04/2021
1.50,28/06/2016
30.18,31/12/2018
0.07,30/09/2019
6.78,28/04/2015
130.33,09/12/2016
18.50,02/01/2018
1.94,28/06/2017
6.48,29/12/2016
887.95,30/12/2021
17.04,02/03/2017
5.99,18/03/2016
2.35,17/04/2019
1.50,19/05/2016
2.78,19/05/2016
15.08,07/11/2019
0.51,01/08/2018
42.08,12/12/2018
0.84,30/10/2015
680.62,02/06/2021
102.48,20/05/2016
973.00,27/09/2018
1.30,15/12/2022
160.00,31/10/2018
8.40,20/04/2018
91.16,21/12/2018
62.30,30/11/2016
7.40,16/11/2022
20.91,23/12/2016
185.00,01/10/2017
39.00,06/08/2019
33.55,31/07/2018
99.70,21/10/2016
12.90,31/01/2015
1.20,28/02/2017
4.61,31/03/2017
16.20,26/11/2020
173.09,28/06/2016
0.46,21/01/2016
0.50,20/04/2017
2.35,01/11/2017
32.48,01/09/2016
4.30,31/07/2016
3.70,24/07/2018
214.00,08/03/2019
1.43,18/05/2017
191.74,20/07/2016
894.55,30/06/2022
141.98,31/08/2017
364.04,31/08/2017
141.98,31/08/2017
13.44,08/04/2016
8.30,09/05/2016
43.00,06/11/2017
3.06,29/06/2020
7.68,30/04/2018
3.28,17/01/2018
2.38,31/12/2016
1.28,09/01/2015
783.95,30/12/2016
53.18,19/06/2020
26.58,29/09/2019
76.64,08/09/2015
87.81,08/09/2015
245.16,13/04/2015
"1,691.81",12/03/2015
585.87,16/02/2017
96.56,09/10/2015
23.76,08/01/2018
45.60,13/01/2015
307.44,26/05/2015
357.69,16/06/2016
5.99,15/06/2016
17.59,09/12/2015
0.78,08/07/2016
"1,317.00",29/11/2018
15.97,07/01/2016
"5,491.25",09/07/2020
297.71,29/04/2016
1.61,26/05/2015
0.64,21/09/2016
4.80,09/07/2020
932.41,21/04/2017
0.17,29/06/2018
18.37,31/12/2016
1.94,01/04/2017
1.15,13/04/2018
"3,493.03",29/08/2016
58.53,11/12/2018
6.97,31/12/2015
173.52,02/02/2019
5.71,01/02/2016
2.43,31/01/2020
806.81,11/03/2019
10.70,19/12/2016
"2,522.99",21/03/2017
35.05,11/07/2016
843.28,02/02/2021
"2,649.95",29/12/2021
"1,024.60",06/09/2017
52.02,07/08/2017
137.24,31/10/2016
714.00,14/04/2020
3.01,24/08/2015
378.95,20/01/2015
131.65,29/06/2017
421.38,05/04/2016
0.37,13/10/2015
88.31,05/01/2016
5.66,06/05/2015
NA,28/12/2018
8.51,18/04/2017
150.52,11/08/2017
37.09,28/12/2015
"19,247.29",28/12/2016
4.60,15/12/2016
46.68,31/12/2015
"1,868.00",06/01/2017
51.66,15/05/2020
2.42,07/12/2017
11.02,27/12/2017
"3,870.97",01/09/2015
900.73,05/08/2022
198.35,15/12/2020
533.49,26/12/2019
32.46,19/11/2019
75.52,13/12/2017
104.20,18/03/2020
263.60,26/11/2020
74.23,23/03/2017
306.42,30/03/2016
0.54,30/03/2016
0.07,30/03/2016
78.46,30/03/2016
2.32,22/12/2016
1.62,18/02/2020
6.24,14/07/2020
8.06,29/12/2018
17.30,31/12/2016
41.12,13/01/2015
11.69,30/04/2020
27.01,29/04/2021
25.70,31/07/2016
82.61,31/07/2015
49.09,11/12/2018
10.90,31/12/2019
23.15,30/08/2016
6.55,15/05/2017
31.03,19/06/2020
270.53,31/03/2016
646.82,26/01/2017
"1,258.27",08/03/2016
3.10,30/07/2015
3.34,16/03/2016
4.22,28/09/2018
6.93,28/06/2016
0.22,04/01/2019
8.32,28/12/2018
44.83,18/04/2016
236.00,27/05/2015
30.73,29/02/2016
0.75,18/06/2015
4.74,10/03/2022
28.80,09/08/2019
0.02,13/01/2015
1.11,14/08/2015
9.98,07/08/2015
16.75,21/09/2020
1.57,19/02/2021
6.39,30/06/2021
115.00,01/02/2016
989.44,27/03/2017
227.57,14/04/2015
0.17,31/12/2021
44.30,27/05/2015
83.95,08/11/2019
0.02,26/03/2018
0.08,23/09/2021
0.00,27/10/2017
NA,05/07/2018
1.56,30/11/2015
133.39,29/03/2016
5.80,28/06/2021
14.60,21/01/2021
0.03,31/08/2018
412.17,10/02/2015
56.50,23/04/2015
167.15,28/06/2020
102.62,31/12/2020
0.01,29/09/2016
17.41,05/12/2019
17.41,05/12/2019
1.75,28/01/2016
0.05,07/12/2015
156.31,28/11/2017
64.34,29/09/2015
26.32,08/06/2017
50.00,30/11/2017
10.10,04/07/2018
1.90,23/05/2018
81.46,29/03/2016
0.19,29/03/2016
1.77,16/07/2015
2.19,13/04/2017
2.26,05/09/2016
9.13,02/08/2016
47.11,21/12/2017
8.42,24/11/2015
2.61,31/01/2016
3.49,03/04/2020
78.64,22/12/2017
225.36,28/08/2017
44.63,02/04/2022
0.36,17/10/2022
265.22,27/10/2016
0.51,03/12/2020
0.77,15/12/2015
0.92,23/12/2020
3.07,19/02/2016
7.48,30/04/2018
1.38,22/10/2015
7.47,20/03/2017
36.20,20/12/2017
1.01,20/11/2020
21.42,30/06/2017
9.45,15/02/2019
9.69,30/11/2017
0.85,02/07/2018
597.73,18/01/2020
0.01,29/11/2016
73.89,02/01/2015
4.54,28/06/2022
8.02,11/07/2019
2.83,27/10/2015
18.17,16/11/2022
21.79,17/08/2021
34.31,29/12/2017
18.47,28/04/2016
134.61,31/05/2021
61.78,30/10/2021
139.94,05/01/2015
79.25,12/06/2020
41.36,25/01/2018
9.47,20/12/2021
458.31,24/12/2021
16.09,31/12/2020
1.10,17/01/2018
1.25,16/06/2015
5.87,25/12/2015
3.86,14/04/2016
522.83,09/10/2020
30.92,11/03/2022
9.60,05/02/2015
12.78,29/03/2016
129.04,02/06/2015
93.47,02/12/2015
1.21,21/12/2018
6.63,22/04/2020
0.23,24/01/2017
0.88,23/03/2016
3.50,15/12/2017
55.00,16/12/2016
19.30,01/11/2015
0.10,31/07/2017
4.02,09/01/2018
1.87,15/11/2018
42.00,05/01/2022
11.91,01/12/2015
0.26,01/04/2017
0.26,02/08/2016
2.38,11/06/2015
"29,796.89",14/01/2016
2.53,29/04/2016
32.65,31/12/2017
6.41,31/10/2018
21.41,29/10/2021
0.11,11/02/2016
"5,696.00",08/10/2020
"11,750.00",23/07/2021
6.96,30/11/2015
6.98,05/10/2022
98.96,13/10/2020
9.24,24/06/2019
304.47,09/08/2022
5.58,02/07/2021
116.98,09/03/2015
0.20,16/03/2021
39.34,20/03/2017
2.50,27/07/2017
5.67,05/07/2017
8.29,21/06/2020
20.51,17/03/2021
32.00,17/03/2021
5.18,29/01/2019
184.64,23/02/2015
1.50,27/02/2015
78.12,05/02/2016
187.00,04/04/2022
0.97,14/05/2018
15.75,29/02/2016
250.00,20/12/2022
6.14,07/10/2016
330.24,21/11/2016
450.00,01/07/2016
132.52,08/02/2016
85.00,01/10/2022
"6,300.00",31/12/2020
"5,738.73",21/03/2021
288.08,30/09/2021
4.00,03/07/2015
4.60,01/03/2016
92.11,01/06/2017
14.27,31/05/2021
0.02,31/05/2018
47.00,31/05/2021
0.31,28/09/2015
64.20,01/01/2021
76.39,09/02/2015
14.52,30/01/2019
9.86,07/01/2015
126.28,18/01/2018
17.00,02/09/2022
255.11,31/05/2022
1.20,12/09/2016
250.00,30/03/2020
310.87,25/10/2016
17.34,15/03/2022
28.60,01/12/2020
12.59,30/09/2019
0.74,16/12/2016
612.24,13/04/2017
13.94,26/05/2021
0.03,17/08/2018
1.48,01/01/2019
189.18,09/01/2019
9.89,08/01/2016
"7,000.00",27/07/2021
6.93,28/02/2022
12.00,05/12/2017
3.01,25/08/2017
"5,700.00",10/12/2019
0.48,30/03/2020
30.00,27/01/2017
64.46,02/03/2021
190.00,29/11/2016
45.12,21/09/2018
132.80,24/11/2015
0.00,11/08/2015
35.00,30/06/2017
248.42,02/12/2020
26.60,08/03/2017
2.11,24/06/2015
750.91,01/10/2016
"5,069.78",03/01/2022
"10,380.00",04/04/2017
32.43,02/05/2017
114.98,31/07/2015
14.90,31/07/2015
0.33,31/05/2022
757.00,30/12/2016
67.06,22/04/2020
49.87,04/02/2017
963.21,08/02/2022
228.79,26/06/2015
65.43,08/07/2019
59.05,27/04/2016
"1,052.92",27/08/2015
13.14,21/01/2016
"1,000.00",30/09/2019
0.25,03/04/2018
45.80,01/07/2017
4.40,14/10/2016
8.45,16/09/2022
2.03,02/07/2018
65.63,01/07/2019
32.33,30/04/2019
51.27,01/07/2015
82.03,09/09/2016
7.04,29/03/2018
8.10,31/12/2015
1.35,31/12/2015
2.90,05/03/2020
0.30,26/08/2015
7.39,12/02/2016
162.54,01/01/2022
15.10,31/08/2015
2.56,29/06/2015
130.00,12/12/2016
18.90,23/08/2018
6.22,30/09/2015
3.02,30/04/2018
0.88,09/04/2015
8.40,21/02/2018
147.97,01/04/2015
95.00,01/03/2022
6.91,29/01/2016
1.90,06/01/2015
65.22,03/01/2020
"5,141.86",02/11/2015
24.00,04/06/2018
2.00,26/10/2022
26.41,05/10/2017
5.98,01/02/2016
160.00,19/02/2019
0.18,01/01/2015
1.47,01/01/2019
0.82,27/10/2017
0.74,01/01/2017
41.53,16/12/2017
4.20,09/07/2015
209.15,07/07/2017
33.37,01/04/2018
159.24,01/02/2021
"1,430.90",21/09/2017
0.13,24/06/2020
0.18,16/07/2021
4.62,31/03/2017
0.25,13/02/2017
4.99,17/12/2018
33.00,28/12/2016
7.52,01/12/2015
0.61,27/05/2020
0.09,07/10/2016
61.99,28/09/2015
0.02,31/12/2019
5.73,30/03/2015
"3,292.56",11/11/2022
"3,912.73",01/07/2021
1.39,10/06/2020
39.23,05/01/2017
189.60,15/08/2019
5.58,26/06/2017
0.80,01/12/2015
1.27,31/03/2017
0.01,01/03/2017
0.32,01/01/2015
1.44,14/08/2017
0.44,26/12/2018
71.23,29/04/2015
49.12,01/01/2018
47.96,30/08/2018
33.86,02/01/2019
36.91,05/05/2019
36.66,17/06/2019
41.21,04/09/2019
37.92,07/11/2019
23.74,20/11/2019
"1,198.36",01/10/2021
6.30,08/08/2022
15.00,01/08/2017
80.02,29/12/2020
5.17,31/08/2016
0.68,01/04/2015
20.18,14/05/2015
33.16,14/12/2017
631.48,13/04/2016
153.79,23/02/2018
94.00,31/12/2016
0.33,17/01/2018
100.00,15/04/2018
113.00,06/10/2017
177.50,01/09/2015
39.24,10/05/2018
14.80,14/09/2018
1.91,25/07/2016
34.80,01/01/2020
6.00,29/12/2022
10.01,18/07/2019
37.00,02/01/2015
5.50,01/08/2018
48.00,01/09/2022
4.87,25/06/2021
180.00,06/12/2022
27.30,01/11/2022
12.44,04/11/2019
17.17,30/12/2021
14.00,10/05/2019
219.00,22/12/2017
18.39,13/08/2021
28.01,30/09/2021
11.80,30/09/2015
4.30,20/10/2017
5.73,14/06/2018
635.48,09/09/2022
51.03,12/11/2019
0.47,30/06/2019
33.58,19/10/2020
10.40,20/01/2016
15.25,11/10/2018
1.66,07/10/2022
235.00,02/11/2019
23.97,01/08/2017
22.01,15/03/2018
17.94,30/11/2018
6.26,16/10/2018
147.00,06/04/2020
20.20,04/04/2019
74.00,20/11/2019
18.90,01/04/2016
110.38,25/10/2016
20.00,01/02/2019
2.71,23/12/2016
21.21,12/03/2020
61.93,19/03/2021
22.48,14/09/2016
19.95,19/12/2022
84.07,14/04/2022
11.84,03/05/2017
"1,350.00",01/10/2019
375.59,13/07/2015
0.71,06/05/2015
65.00,01/04/2021
1.00,10/01/2019
3.43,31/07/2019
28.39,13/07/2020
6.06,18/12/2018
2.09,24/09/2018
0.80,04/11/2019
17.65,31/07/2015
3.30,01/01/2016
48.50,02/11/2015
45.36,01/06/2018
27.50,28/04/2015
1.39,10/01/2022
353.45,02/04/2018
7.19,27/08/2018
"2,611.97",01/07/2021
1.65,29/05/2015
4.60,29/06/2018
458.14,19/12/2020
8.34,01/08/2017
260.53,16/08/2021
240.45,07/01/2016
15.47,15/11/2021
11.29,27/01/2022
9.70,22/04/2022
5.41,31/12/2016
1.50,01/08/2021
19.86,16/05/2016
6.00,30/11/2015
2.06,21/02/2018
0.21,22/10/2018
0.42,27/02/2017
0.86,10/06/2015
20.00,30/06/2020
0.36,01/08/2017
110.28,01/01/2019
54.83,05/01/2015
"1,100.00",01/06/2018
7.72,07/07/2015
0.23,31/12/2018
70.00,21/10/2019
0.47,30/08/2017
0.99,31/12/2017
5.62,17/04/2020
164.50,15/10/2018
0.58,21/07/2018
5.01,12/10/2017
4.22,28/01/2019
4.21,02/11/2022
74.12,30/04/2018
0.07,04/03/2016
7.10,01/10/2015
30.00,05/11/2020
8.16,18/05/2022
7.55,10/04/2015
1.07,28/02/2021
0.23,03/07/2017
293.00,01/08/2016
139.26,21/11/2017
"3,552.49",21/06/2022
0.27,25/02/2022
11.00,29/03/2021
8.92,16/04/2020
31.40,19/01/2015
9.00,21/10/2015
0.16,27/09/2019
13.50,17/01/2020
72.96,08/05/2022
20.40,01/01/2019
2.78,19/12/2022
4.75,01/07/2022
3.64,15/04/2021
18.50,24/01/2020
42.00,07/05/2019
11.24,09/06/2015
946.90,16/10/2015
5.08,30/08/2019
"1,505.00",01/09/2021
"4,154.15",17/12/2021
"2,384.73",22/07/2021
15.00,02/04/2018
12.80,23/08/2017
2.54,31/12/2017
179.00,31/08/2017
85.00,17/09/2021
0.00,13/02/2017
16.19,03/11/2020
25.37,28/04/2015
318.64,09/09/2015
0.01,30/04/2019
7.09,14/08/2017
23.66,17/11/2021
5.31,07/11/2016
29.35,13/04/2018
4.17,19/12/2018
54.12,20/12/2016
35.40,25/02/2020
224.31,01/12/2015
4.46,14/10/2016
"2,725.02",16/12/2021
"3,386.83",31/05/2022
324.36,20/06/2022
452.74,21/04/2015
76.61,16/11/2022
107.03,07/10/2019
2.83,24/07/2018
134.16,29/12/2022
0.63,31/08/2021
3.24,12/01/2022
0.01,31/03/2021
6.89,31/07/2020
33.49,27/01/2021
20.20,03/09/2018
12.69,08/07/2016
20.77,13/01/2019
83.35,02/04/2018
0.10,31/03/2016
2.69,26/11/2019
130.00,03/04/2017
123.91,05/10/2018
7.19,31/01/2020
51.00,12/10/2021
942.82,01/10/2018
16.53,01/12/2017
21.88,22/07/2015
1.96,20/01/2021
243.20,09/10/2015
20.17,01/04/2017
149.79,27/01/2017
80.68,18/11/2015
0.02,09/03/2020
13.07,25/05/2022
26.33,15/10/2019
18.00,01/09/2015
35.00,06/02/2015
38.46,01/06/2017
95.00,06/11/2020
26.47,08/06/2021
4.92,20/03/2020
36.00,02/11/2020
15.52,11/11/2021
78.70,30/09/2022
200.00,04/11/2022
9.53,30/11/2017
539.67,10/02/2021
1.60,12/04/2018
180.75,01/01/2017
19.19,21/01/2021
107.04,01/04/2015
27.27,18/10/2017
61.00,23/05/2019
19.26,01/12/2021
0.09,05/04/2021
2.14,08/09/2017
0.45,29/12/2017
0.30,04/01/2018
4.97,01/02/2015
5.93,09/10/2019
2.52,19/07/2019
32.38,01/02/2015
10.00,31/12/2017
103.73,27/04/2021
0.16,26/03/2015
10.86,04/07/2022
50.00,28/01/2021
0.50,19/10/2021
33.48,16/04/2018
85.42,02/08/2021
400.00,31/03/2020
5.56,29/01/2021
44.56,16/04/2021
17.37,04/06/2021
6.85,15/06/2021
31.59,12/02/2018
88.22,16/01/2018
2.20,02/01/2019
0.08,24/02/2017
3.87,30/12/2016
154.68,25/07/2016
174.24,17/12/2019
0.22,30/03/2022
15.90,28/03/2015
150.90,03/11/2016
8.38,31/10/2019
51.00,03/03/2020
2.00,16/01/2020
6.97,24/10/2022
"1,363.31",31/03/2021
0.29,31/10/2018
10.46,08/12/2022
0.35,21/12/2022
39.72,11/02/2021
10.03,02/06/2016
40.95,31/03/2015
2.89,11/02/2019
48.30,20/01/2020
11.12,10/09/2019
215.02,24/08/2015
81.50,13/07/2016
69.67,01/08/2016
33.07,12/10/2018
7.02,12/09/2017
11.69,31/07/2015
54.45,01/04/2015
"2,744.43",02/08/2019
"1,206.19",01/12/2021
39.20,01/03/2020
"2,576.89",01/04/2021
70.46,23/12/2022
"1,624.50",11/03/2021
"2,617.93",10/01/2017
730.95,02/04/2015
1.19,11/08/2020
2.00,01/06/2017
25.70,01/07/2019
8.97,20/08/2018
67.50,22/12/2022
4.69,27/10/2021
683.98,31/12/2018
139.39,17/04/2020
1.66,31/07/2018
11.00,07/05/2020
0.01,03/12/2015
1.30,15/12/2016
469.57,04/06/2018
8.40,26/06/2017
93.00,31/01/2018
0.32,21/05/2019
14.84,27/12/2018
21.40,22/10/2015
80.60,01/07/2015
64.78,31/05/2018
0.08,04/10/2017
4.74,15/09/2022
0.09,01/03/2019
0.62,24/09/2015
2.31,04/09/2015
52.25,14/11/2018
10.82,06/07/2018
14.70,12/05/2021
10.33,03/09/2020
24.43,20/03/2020
203.85,02/11/2020
579.59,01/10/2020
34.07,31/07/2015
45.67,12/07/2017
0.30,31/08/2018
17.31,08/02/2018
65.12,05/01/2017
11.90,01/11/2018
34.17,20/12/2018
229.82,13/10/2017
21.77,17/07/2017
34.70,21/01/2020
23.29,01/05/2018
0.14,07/09/2018
234.00,31/01/2018
5.16,01/06/2018
70.80,24/02/2017
59.20,01/01/2018
38.44,05/12/2016
31.34,20/01/2017
6.15,01/12/2015
10.00,24/02/2016
0.94,07/01/2015
71.23,08/12/2016
"32,000.00",03/10/2016
5.57,06/03/2017
4.07,16/08/2019
2.10,01/05/2015
0.66,30/12/2020
1.41,05/08/2019
23.30,01/04/2017
97.44,30/11/2015
52.82,06/10/2017
673.96,31/03/2022
333.52,29/06/2016
62.26,31/03/2022
27.28,26/09/2018
88.23,20/05/2015
"1,227.00",31/12/2015
39.33,01/01/2019
940.66,17/08/2017
82.27,17/12/2015
0.45,30/06/2018
"2,330.00",31/03/2022
237.51,14/10/2015
286.21,01/04/2015
1.20,11/12/2018
240.80,27/10/2016
349.19,31/03/2019
86.85,04/07/2016
23.61,09/11/2016
6.29,09/11/2016
240.00,23/08/2016
0.02,19/09/2017
25.50,06/04/2022
0.00,09/09/2021
164.81,07/03/2022
16.40,13/10/2017
16.55,03/07/2018
19.70,05/02/2021
404.98,30/09/2022
2.25,02/01/2018
6.21,08/08/2017
840.67,20/07/2016
51.87,10/11/2017
19.20,08/04/2019
51.14,16/01/2015
15.00,28/09/2019
21.63,31/12/2016
140.41,01/09/2022
11.10,21/08/2015
12.86,28/04/2017
900.49,10/08/2018
4.35,29/02/2020
49.59,04/01/2018
66.47,08/01/2015
17.45,16/05/2016
64.99,01/03/2016
30.88,08/05/2020
274.62,03/12/2021
27.40,06/05/2015
2.32,01/02/2020
200.00,03/03/2016
42.44,24/07/2015
19.00,01/10/2018
271.52,27/02/2015
82.91,10/11/2016
44.00,01/07/2015
9.62,01/04/2016
61.98,01/01/2018
12.94,06/05/2016
147.77,19/06/2015
19.00,01/10/2015
0.40,01/10/2017
12.45,02/03/2015
9.58,23/12/2021
20.88,01/07/2020
29.39,30/06/2015
80.00,31/08/2016
2.45,01/02/2019
340.48,26/10/2016
47.86,31/01/2018
263.02,02/01/2017
24.19,07/01/2021
3.72,24/07/2019
2.60,24/07/2019
58.96,15/01/2015
0.05,09/10/2020
26.69,21/10/2016
0.34,08/01/2015
0.05,13/03/2015
21.70,09/06/2017
143.72,14/01/2016
54.59,02/02/2018
4.00,31/12/2018
3.94,01/01/2019
43.00,06/09/2019
794.43,30/09/2022
2.22,08/03/2017
218.00,27/01/2015
0.81,05/06/2018
0.74,05/06/2019
0.40,04/12/2020
5.73,14/02/2017
0.85,31/12/2015
27.00,23/03/2015
61.80,12/09/2019
23.09,12/12/2019
21.00,04/06/2015
49.79,28/11/2017
5.67,31/03/2022
6.84,16/01/2019
9.60,14/05/2018
176.73,01/07/2015
46.00,31/12/2021
4.50,23/01/2015
1.52,22/12/2021
0.00,08/10/2015
"1,998.95",19/10/2020
0.14,25/02/2015
24.00,14/02/2020
81.64,09/11/2021
15.16,07/04/2021
11.90,28/01/2021
180.65,02/08/2021
"1,015.00",03/09/2019
60.11,28/09/2015
0.10,31/03/2019
"1,080.00",01/07/2019
46.76,30/10/2015
377.29,19/04/2017
11.90,04/09/2015
17.74,06/10/2020
5.46,23/03/2015
23.67,06/09/2018
11.40,24/04/2018
"1,540.72",16/11/2022
1.50,08/01/2016
59.50,24/04/2019
10.33,11/08/2022
16.32,24/10/2018
45.90,01/07/2022
30.58,18/06/2018
272.00,02/07/2015
10.74,01/07/2019
51.64,31/12/2017
344.65,01/11/2022
2.84,08/08/2022
25.83,09/06/2022
0.13,28/02/2017
0.07,31/03/2017
19.40,15/08/2022
8.36,12/08/2021
0.75,01/04/2019
77.02,31/03/2016
177.94,28/05/2018
14.20,12/06/2015
3.00,23/09/2016
60.37,29/11/2018
101.33,13/06/2018
24.13,30/09/2020
6.65,01/07/2016
21.85,15/09/2020
30.43,01/10/2021
37.41,29/01/2016
105.00,14/04/2016
9.32,11/01/2017
4.12,15/12/2022
55.36,31/05/2022
14.58,11/06/2016
0.70,14/11/2017
12.88,10/05/2016
13.05,31/01/2022
88.50,15/12/2016
42.00,11/05/2017
36.50,14/01/2019
1.94,16/03/2016
11.50,18/05/2020
55.00,01/05/2020
47.25,03/02/2020
0.90,01/10/2018
104.05,19/02/2016
79.11,20/12/2021
5.75,31/03/2017
30.41,25/04/2018
11.81,12/06/2018
26.50,07/02/2020
800.00,01/09/2021
80.00,03/04/2017
240.00,18/09/2015
12.35,01/07/2015
"1,355.00",03/03/2022
239.00,17/11/2016
24.60,12/02/2016
163.92,31/07/2020
56.26,30/01/2020
41.47,13/02/2015
3.02,31/07/2018
43.40,30/11/2016
3.73,04/09/2020
197.60,11/08/2021
79.14,30/06/2022
15.15,31/05/2019
2.02,29/12/2017
115.00,01/10/2015
"2,900.00",19/10/2020
1.10,08/08/2019
29.68,07/08/2019
8.44,09/09/2020
269.52,19/12/2019
273.17,01/12/2021
41.00,01/01/2017
2.71,24/01/2020
3.70,21/11/2022
61.60,30/09/2017
56.30,04/01/2021
1.81,11/10/2018
22.16,01/12/2022
NA,16/09/2022
741.10,23/09/2015
9.80,10/06/2021
155.03,01/09/2016
190.50,31/10/2017
"2,200.00",07/07/2022
63.01,30/11/2022
"6,900.00",02/07/2018
65.42,31/03/2021
564.31,29/06/2018
4.97,06/11/2020
"5,160.91",28/03/2017
197.95,19/04/2015
79.00,24/07/2015
"2,907.63",27/05/2016
5.00,03/12/2022
24.96,28/02/2020
56.24,30/06/2020
10.93,30/06/2019
38.71,01/11/2018
0.79,31/03/2015
24.50,25/02/2019
1.67,27/07/2016
14.75,30/11/2017
11.92,21/03/2017
9.68,30/06/2016
41.52,14/03/2015
4.39,01/09/2021
0.61,31/12/2020
2.10,31/03/2021
5.00,30/12/2021
12.77,31/12/2021
11.67,12/11/2019
5.10,30/11/2018
10.03,29/02/2016
122.85,01/01/2015
90.00,01/07/2021
4.06,17/04/2020
42.34,11/04/2016
7.00,02/12/2016
0.11,27/11/2020
72.00,16/03/2018
52.80,09/11/2015
100.00,21/03/2022
100.69,01/06/2017
"2,353.67",05/10/2018
134.03,09/08/2021
1.60,28/12/2017
50.21,23/08/2021
0.90,01/05/2015
22.20,16/09/2019
255.00,21/09/2021
"2,271.20",28/10/2020
2.59,12/08/2021
14.30,23/01/2015
150.60,01/12/2020
23.01,31/12/2019
12.30,31/05/2017
6.90,20/12/2022
331.32,02/11/2020
2.45,31/03/2018
59.30,15/04/2015
0.87,20/12/2017
17.50,01/10/2020
5.70,29/01/2016
230.20,30/01/2015
0.02,14/06/2016
50.10,09/12/2020
15.00,26/07/2020
1.07,31/01/2015
20.00,05/07/2018
2.40,22/11/2017
0.03,06/02/2017
87.79,28/01/2019
1.50,31/10/2016
11.02,02/03/2021
0.61,23/02/2018
0.48,18/12/2017
37.86,31/08/2016
3.03,31/03/2017
26.35,27/05/2022
3.30,09/06/2022
24.41,30/12/2020
852.68,31/10/2018
372.87,23/06/2022
10.05,01/10/2018
4.44,01/06/2015
93.70,02/03/2017
2.93,30/08/2016
375.59,04/11/2016
6.43,24/08/2016
0.34,30/06/2018
30.00,10/05/2019
8.00,17/02/2022
"2,200.00",02/11/2021
2.79,30/09/2018
1.43,07/10/2022
19.27,31/01/2016
"7,518.40",04/06/2021
200.00,01/10/2015
250.00,30/01/2018
68.77,01/03/2015
0.29,26/11/2017
29.69,13/03/2017
118.94,01/12/2021
116.33,21/11/2016
80.98,13/03/2015
24.00,02/02/2015
12.97,10/09/2019
50.23,28/02/2020
30.50,29/07/2016
0.15,30/03/2015
1.29,30/06/2020
27.11,20/10/2017
31.80,17/05/2016
28.44,31/08/2015
29.69,01/01/2020
5.80,15/02/2022
71.40,04/02/2022
5.34,01/03/2019
2.24,03/12/2015
0.18,30/04/2018
7.10,23/12/2016
138.19,05/12/2018
165.00,07/07/2015
304.98,28/06/2019
"2,500.00",29/01/2016
5.65,09/11/2015
"1,590.26",19/12/2018
9.00,24/04/2015
1.82,31/01/2018
13.65,27/04/2018
190.00,31/12/2015
29.50,01/12/2021
0.28,26/12/2017
30.27,01/01/2016
9.30,01/04/2017
14.53,01/06/2019
215.00,01/06/2021
6.30,31/10/2019
67.12,01/02/2017
2.00,12/11/2021
2.21,22/10/2021
